I believe in America.|我相信美国
...but towards the end, he was paroled to help with the American war effort|...但最后, 他被假释以帮助美国的战争努力
For the last six months, he's been working at my pastry shop.|过去的6个月, 他一直在我的糕饼店做事
Nazorine, my friend, what can I do for you?|纳佐林, 我的朋友, 我能为你做什么?
Now that the war is over|现在战争结束了
this boy, Enzo, they want to repatriate him back to Italy.|这个男孩, 恩佐, 他们想把他遣返回意大利
Godfather, I have a daughter. See, she and Enzo...|教父, 我有个女儿. 看, 她和恩佐...
You want Enzo to stay in this country, and you want your daughter to be married.|你想要恩佐留在这个国家, 和你女儿结婚
-You understand everything. -Thank you.|-你什么都了解  -谢谢
Mr. Hagen. Thank you.|哈根先生, 谢谢
And wait till you see the beautiful wedding cake... I made for your daughter.|待会儿看看漂亮的结婚蛋糕... 我为你女儿做的
Like this, with the bride and the groom and angel...|这么高, 还有一对新人和天使...
-Who should I give this job to? -Not to our paisan.|-这件事我该交给谁去办 -别给我们的同伴
Give it to a Jew congressman in another district.|把它交给另一个选区的犹太议员
Who else is on the list?|名单上还有谁?
-Hey, Michael. How are you?|嘿, 迈克尔, 你好吗?
-Hello. -Michael.|-你好  -迈克尔
He's not on the list, but Luca Brasi wants to see you.|卢卡·布拉西不在名单上, 但他想要见你
Is this... Is this necessary?|这个... 有这个必要吗?
He didn't expect to be invited to the wedding, so he wanted to thank you.|他没想到会被邀请参加婚礼, 所以他想谢谢你
All right.|好吧
Don Corleone, I am honored and grateful|柯里昂阁下, 我很荣幸也很感激
that you have invited me to your home on the wedding day of your daughter.|你在你女儿结婚这天 邀请我到你家里做客
And may their first child be a masculine child.|愿他们的第一个孩子是男孩
-Don... -Michael? Don Corleone...|-唐... -迈克尔?  -柯里昂阁下...
That man over there is talking to himself.|那边的那个人在自言自语
See that scary guy over there?|看到那边那个吓人的家伙了吗?
-He's a very scary guy. -Who is he? What's his name?|-他是个很吓人的家伙  -他是谁? 叫什么名字?
His name is Luca Brasi. He helps my father out sometimes.|他叫卢卡·布拉西, 有时候帮我爸爸办事
Oh, Michael, Wait a minute. He's coming over here.|哦, 迈克尔,  等一下, 他过来了
Hey! Mike.|嘿! 迈克
Oh, Tom.|哦, 汤姆
You look terrific!|你看起来棒极了!
My brother Tom Hagen. This is Kay Adams.|我哥哥汤姆·哈根, 这是凯·亚当斯
-How do you do? -Nice to meet you.|-你好吗?  -很高兴见到你
Your father's been asking for you.|你父亲一直在找你
-I'll be there. -Very nice to meet you. -Nice to meet you.|-我会去的  -很高兴见到你  -很高兴见到你
If he's your brother, why does he have a different name?|如果他是你哥哥, 为什么他有不同的名字?
Oh, when my brother Sonny was a kid...  he found Tom Hagen in the street, and he had no home|哦, 我哥哥桑尼小时候, 在街上发现汤姆·哈根无家可归
and so my father took him in|我爸爸收养了他
and he's been with us ever since.|从那以后他就一直和我们在一起
He's a good lawyer.|他是个好律师
Not a Sicilian, but I think he's gonna be consigliere.|不是西西里人, 但我想他会成为军师
-What's that? -That's a...|-那是什么意思?  -那是...
like a counselor, an advisor. Very important to the family.|就像是个顾问, 参谋, 在家族中的地位非常重要
You like your lasagna?|你喜欢你的千层面吗?
Don Corleone|柯里昂阁下
I am honored and grateful|我很荣幸也很感激
that you have invited me to your daughter's wedding|你在你女儿结婚这天
on the day of your daughter's wedding.|邀请我参加你女儿的婚礼
And I hope that their first child will be a masculine child.|我希望他们的第一个孩子是男孩
I pledge my ever-ending loyalty.|我发誓永远忠诚
-For your daughter's bridal purse.  -Thank you, Luca.|-这是给你女儿的新娘包  -谢谢你, 卢卡
My most valued friend.|我最珍贵的朋友
Don Corleone, I'm gonna leave you now, because I know you are busy.|柯里昂阁下, 我先告退了, 我知道你很忙
Thank you.|谢谢
Signora Corleone!|柯里昂夫人!
No! No! No!|不! 不! 不!
Senator Cauly apologized for not coming personally|参议员考利对不能亲自来致歉
but said you'd understand.|他说你会谅解的
Also some of the judges. They've all sent gifts. To you.|还有一些法官也一样, 他们都送了礼物. 敬你
What is that outside?|外面是怎么回事?
Johnny! Johnny! Johnny!|强尼! 强尼! 强尼!
I love you.|我爱你
He came all the way from California to come to the wedding.|他千里迢迢从加州赶来参加婚礼
I told you he was going to come.|我告诉过你他会来的
-It's been two years. -He's probably in trouble again.|-已经2年了 -他可能又遇到麻烦了
He's a good godson.|他是个好教子
Johnny, Johnny! Sing a song!|强尼, 强尼! 唱首歌!
Michael, you never told me you knew Johnny Fontane.|迈克尔, 你从未告诉我你认得强尼·方廷
-Sure. You wanna meet him? -Huh? Oh, well, sure.|-确实, 你想见他吗?  -嗯? 哦, 当然了
-My father helped him with his career. -He did?|-我父亲帮助他建立他的事业  -是吗?
How?|怎么做的?
♪ I have but one heart|我只有一颗心
-Let's listen to the song. -No Michael.|-我们先听这首唱  -不, 迈克尔
♪ To share with you|与你分享
♪ I have but one heart|我只有一颗心
♪ To share with you|与你分享
♪ I have but one dream|我只有一个梦想
♪ That I can cling to|可以坚持
♪ You are the one dream|你是唯一的梦想
♪ I pray comes true|我祈祷梦想成真
Please, Michael. Tell me.|求你了, 迈克尔, 告诉我
When Johnny was first starting out|强尼刚出道时
he was signed to this personal service contract with a big bandleader.|跟一个大乐队的领班签了个人服务合同
And as his career got better and better, he wanted to get out of it.|随着他的职业生涯越来越好, 他想从中解脱出来
Now, Johnny is my father's godson|强尼是我父亲的教子
and my father went to see this bandleader|于是我父亲去见了乐队领班
and he offered him $ 10,000 to let Johnny go.|而且出10000元要他与强尼解约
But the bandleader said no.|但乐队领班说不行
So the next day my father went to see him, only this time with Luca Brasi.|第二天我父亲再去见他, 只是这次是带着卢卡·布拉西去的
And within an hour|不到1个小时
he signed a release for a certified check of $1,000.|他签了解约书, 只收了1000元的支票
How'd he do that?|他是怎么办到的?
My father made him an offer he couldn't refuse.|我父亲给了他一个他无法拒绝的提议
What was that?|什么提议?
Luca Brasi held a gun to his head|卢卡·布拉西用枪顶着他的头
and my father assured him that either his brains or his signature would be on the contract.|我父亲向他保证, 合同上要么是他的脑子, 要么是他的签名
That's a true story.|这是真实的故事
That's my family, Kay. It's not me.|凯, 那是我的家庭, 不是我
I'll take care of it.|我会处理的
I want you to find Santino. Tell him to come to the office.|我要你找到桑蒂诺, 叫他到办公室来
How are you, Fredo?|你好吗, 弗雷多?
Fredo, my brother Fredo. This is Kay Adams.|弗雷多, 我哥哥弗雷多. 这是凯·亚当斯
-Hi. -How ya doin'?|-嗨 -你好吗?
-This is my brother Mike. -Are you having a good time?|-这是我弟弟迈克 -玩的开心吗?
Yeah. This is your friend, huh?|是的. 这是你的朋友, 唔?
I don't know what to do.|我不知道该怎么办
My voice is weak. It's weak.|我的嗓子很虚弱, 很虚弱
Anyway, if I had this part in the picture, you know|不管怎样, 如果我能出演这个角色
it puts me right back up on top again.|我会再次走红的
But this... This man out there, he won't give it to me, the head of the studio.|但是... 这个人在那里, 他不会给我, 工作室的负责人
-What's his name? -Woltz. Woltz, he...|-他叫什么名字?  -沃尔茨. 沃尔茨, 他...
He won't give it to me, and he says there's no chance, no chance.|他不肯给我, 他说没有机会, 没有机会
Sonny?|桑尼?
Sonny?|桑尼?
Sonny?|桑尼?
Sonny, you in there?|桑尼, 你在里面吗?
What?|什么事?
The old man wants to see you.|老头子要见你
Yeah, one minute.|好, 马上去
Oh, Sonny!|哦, 桑尼!
A month ago|一个月前
he bought the movie rights to this book. A best-seller.|他买下这本畅销书的电影版权
And the main character is a guy just like me.|主角是一个像我一样的人
Why, I wouldn't even have to act. Just be myself.|为什么, 我甚至不需要演戏, 做我自己就好
Oh, Godfather, I don't know what to do.|哦, 教父, 我不知该怎么办
You can act like a man!|你要表现得像个男人!
What's the matter with you?|你是怎么回事?
Is this how you turned out?|你变成这样了吗?
A Hollywood finocchio that cries like a woman?|一个像女人一样哭泣的好莱坞同性恋?
"What can I do? What can I do?"|"我该怎么办? 我该怎么办?"
What is that nonsense?|这是什么废话?
Ridiculous!|愚蠢!
-You spend time with your family? -Sure I do.|-你花时间陪伴家人了吗?  -我当然有
Good.|很好
Because the man who doesn't spend time with his family can never be a real man.|不花时间和家人在一起的男人, 永远不是真正的男人
Come here.|过来
You look terrible. I want you to eat.|你看来糟透了, 我要你多吃点
I want you to rest well|我要你好好休息
and a month from now this Hollywood big shot's gonna give you what you want.|一个月后, 这位好莱坞大佬会给你想要的
Too late. They start shooting in a week.|太晚了, 他们一周后就开拍
I'm gonna make him an offer he can't refuse.|我会给他一个他无法拒绝的提议
Now just go outside, enjoy yourself, and forget about all this nonsense.|现在出去玩吧, 好好享受, 忘掉这些废话
Listen. I want you to leave it all to me.|听着, 我想让你把这一切都交给我
All right.|好吧
What time does my daughter leave with the bridegroom?|我女儿和新郎什么时候离开?
In a few minutes, right after they cut the cake.|他们切完蛋糕后, 几分钟
Now, your new son-in-law, we give him something important?|你的新女婿, 我们要给他重要职务吗?
Never.|永远不要
Give him a living but never discuss the family business with him.|给他一份生计, 但不要和他讨论家族生意
What else?|还有什么事?
Virgil Sollozzo called.|维吉尔·索洛佐来过电话
We have to give him a day sometime next week.|我们必须在下周安排跟他见面
We'll discuss him when you come back from California.|等你从加州回来我们再讨论他
When am I going to California?|我什么时候要去加利福尼亚了?
I want you to go tonight.|我想让你今晚就去
I want you to talk to|我要你和这个
this movie big shot and settle this business for Johnny.|电影大亨谈谈, 把强尼的事摆平
If there's nothing else, I'd like to go to my daughter's wedding.|如果没有别的事, 我想去参加我女儿的婚礼了
Carlo, we're gonna take the picture.|卡洛, 我们要拍照了
Wait a minute.|等一下
No, Michael, not me.|不, 迈克尔, 我不行
Just a little closer. Okay, that's it. Just like that now. Hold it.|再靠近一点. 好了, 就这样. 就像现在这样, 别动
All right, start talking.|好了, 开始说吧
Uh-huh. I was sent by a friend of Johnny Fontane.|嗯哼, 我是强尼·方廷的朋友派来的
This friend is my client. He and would give his undying friendship|这位朋友是我的委托人, 如果沃尔兹先生能帮我们一个小忙
to Mr. Woltz, if Mr. Woltz would grant us a small favor.|他愿意把他永恒的友谊献给沃尔兹先生
Woltz is listening.|继续说下去
Give Johnny the part in that new war film you're starting next week.|让强尼出演你下周要开始的那部新战争片
And uh... what favor would your friend grant Mr. Woltz?|嗯... 你的朋友会帮沃尔兹先生什么忙?
You're gonna have some union problems, My client could make them disappear.|你会遇到一些工会问题, 我的委托人可以让他们消失
Also, one of your top stars has just moved|此外, 你的一位抽大麻的顶级明星
from marijuana to heroin.|现在吸起海洛因了
Are you trying to muscle me?|你想胁迫我吗?
Absolutely not.|绝对不是
Listen to me, you smooth-talking son of a bitch!|听着, 你这个油腔滑调狗娘养的!
Let me lay it on the line for you and your boss, whoever he is!|让我对你及你的老板说清楚, 不管他是谁
Johnny Fontane will never get that movie.|强尼·方廷永远得不到那个角色
I don't care how many dago, guinea, wop greaseball goombahs come outta the woodwork.|我不在乎有多少意大利佬, 几内亚佬, 意大利佬突然冒出来
I'm German-Irish.|我是德裔爱尔兰人
Well, let me tell you something, my kraut mick friend.|好吧, 让我告诉你, 我的德国朋友
I'll make so much trouble for you, you won't know what hit you.|我会给你制造很多麻烦, 你都不知道是什么打击了你
Mr. Woltz. I'm a lawyer. I have not threatened...|沃尔兹先生, 我是一名律师, 我没有威胁过...
I know almost every big lawyer in New York. Who the hell are you?|我认识纽约几乎所有的大律师, 你到底是谁?
I have a special practice. I handle one client.|我有一个特殊的做法, 我只有一个委托人
Now you have my number. I'll wait for your call.|你有我的电话号码了, 我等你的电话
By the way, I admire your pictures very much.|顺便说一下, 我很喜欢你的电影
Check him out.|摸清他的底细
This is really beautiful.|真是美极了
Look at this. Used to decorate the palace of a king.|看看这个, 原本是用来装饰王宫的
Oh, yeah. Very nice.|哦, 是的, 很漂亮
Why didn't you say you worked for Corleone, Tom?|你为什么不说你为柯里昂工作, 汤姆?
I thought you were just some cheap, two-bit hustler|我以为你只是个廉价的二流骗子
Johnny was running in, trying to bluff me.|是强尼派来吓唬我的
I don't like to use his name unless it's really necessary.|除非真的有必要, 否则我不想提起他的名字
-How's your drink, Tom? -Fine.|-汤姆, 你喝得怎么样?  -很好
Hey come on over here with me.  I want to show you something really beautiful.|跟我到这边来, 我想让你看看真正漂亮的东西
You do appreciate beauty, don't you, Tom?|你很欣赏美, 对吧, 汤姆?
There you are. $600,000 on four hooves.|这里, 这匹马价值60万元
I'll bet Russian czars never paid that kind of dough for a single horse.|我敢打赌, 俄国沙皇也从来没有为一匹马花过这么多钱
Khartoum. Khartoum.|喀土穆, 喀土穆
I'm not gonna race him, though. I'm gonna put him out to stud.|不过我不会用他来比赛, 我要把他当种马
-Thanks, Tony. -You're welcome.|-谢谢, 托尼 -不客气
-Come on. -Let's get something to eat, huh?|-来吧  -我们去吃点东西, 唔?
Mr. Corleone is Johnny's godfather.|柯里昂先生是强尼的教父
To the Italian people, that's a very religious, sacred, close relationship.|对意大利人来说, 这是一种宗教上的, 神圣的, 亲密关系
I respect that.|我尊重这一点
Just tell him he should ask me anything else.|告诉他, 他可以问我其它问题
But this is one favor I can't give him.|这件事我不能帮忙
He never asks a second favor when he's been refused the first. Understood?|第一次被拒绝后, 他从不要求第二次帮忙. 理解吗?
You don't understand. Johnny Fontane never gets that movie.|你不了解, 强尼·方廷永远别想演那部电影
That part is perfect for him.|那个角色对他来说很完美
It'll make him a big star.|会让他成为巨星
I'm gonna run him out of the business.|我要把他赶出这个行业
Let me tell you why.|让我告诉你为什么
Johnny Fontane ruined one of Woltz International's most valuable proteges.|强尼·方廷毁了沃尔茨国际公司 最有价值的一个女星
For five years, we had her under training.|5年来, 我们不断地训练她
Singing lessons, acting lessons, dancing lessons.|歌唱课, 表演课, 舞蹈课
I spent hundreds of thousands of dollars on her.|我在她身上花了几十万美元
I was gonna make her a big star.|我要让她成为一个巨星
And let me be even more frank.|让我更坦率地说
Just to show you that I'm not a hard-hearted man. that it's not all dollars and cents.|我只是想告诉你, 我不是一个铁石心肠的人, 也不全是金钱
She was beautiful. She was young, she was innocent!|她很漂亮, 她那么年轻, 那么天真!
She was the greatest piece of ass I've ever had and I've had 'em all over the world!|她是我见过的最漂亮的, 我拥有她就等于拥有全世界!
And then Johnny Fontane comes along|然后强尼·方廷出现了
with his olive oil voice and guinea charm.|带着磁性的嗓音和意大利的魅力
And she runs off.|她跑掉了
She threw it all away just to make me look ridiculous!|她抛弃了这一切, 只是为了让我看起来很可笑!
And a man in my position can't afford to be made to look ridiculous!|像我这种地位的人不能让自己看起来很可笑!
Now you get the hell outta here!|现在你给我滚出去!
And if that goombah tries any rough stuff|如果那个混蛋想对我动粗
you tell him I ain't no bandleader.|你告诉他我不是乐队领班
Yeah. I heard that story.|是的, 我听过那个故事了
Thank you for the dinner and a very pleasant evening.|谢谢你的晚餐, 让我度过了一个愉快的夜晚
Maybe your car could take me to the airport.|也许你能派车送我去机场
Mr. Corleone is a man who insists on hearing bad news immediately.|柯里昂先生是一个坚持要立即听到坏消息的人
-You're not too tired, Tom? -No, I slept on the plane.|-汤姆, 你不会太累吧?  -不累, 我在飞机上睡过了
I have the Sollozzo notes here.|我这里有索洛佐的资料
Now...|现在…
Sollozzo is known as"The Turk."|索洛佐被称为"土耳其人"
He's supposed to be very good with a knife|他应该很擅长用刀
but only in matters of business with some sort of reasonable complaint.|但只有在生意上有合理的抱怨时才会用
Uh, his business is narcotics.|唔, 他是做毒品生意的
He has fields in Turkey, where they grow the poppy.|他在土耳其有田地, 那里种着罂粟
And in Sicily he has the plants to process them into heroin.|在西西里, 他有工厂可以把毒品加工成海洛因
Now, he needs cash|现在, 他需要现金
and he needs protection from the police for which he gives a piece of the action.|还需要警方的保护, 而他也要从中分一杯羹
I couldn't find out how much.|我无法查出保护费是多少
The Tattaglia family is behind him here in New York.|在纽约是塔塔基利亚家族在保护他
Now, they have to be in it for something.|他们一定也想分占利益
Santino Corleone.|桑蒂诺·柯里昂
What about his prison record?|他的犯罪前科呢?
Two terms, one in Italy, one here.|有两次, 一次在意大利, 一次在这儿
He's known as a top narcotics man.|他是众所周知的大毒枭
Santino, what do you think?|桑蒂诺, 你的想法呢?
There's a lot of money in that white powder.|白粉可以赚大钱
-Tom?  -I say, yes.|-汤姆?  -我赞成
There's more money potential in narcotics than anything else we're looking at.|毒品交易比我们正在研究的任何生意都更有赚钱潜力
If we don't get into it, somebody else will.|就算我们不介入, 别人也会介入
Maybe one of the five families, maybe all of them.|也许是五大家族之一, 也许是全部介入
With the money they earn, they can buy more police and political power.|他们会用毒品赚到的钱, 买通警方和政客
Then they come after us.|到时就会赶上我们
Now we have the unions, we have the gambling|现在我们掌握了工会, 掌握了赌场
and they're the best things to have, but narcotics is a thing of the future.|这些都是最好的东西, 但毒品是未来的东西
If we don't get a piece of that action|我们若不能从中分一杯羹
we risk everything we have.|我们就会冒着失去一切的风险
Not now, but ten years from now.|我不是指现在而是10年之后
So? What's your answer gonna be, Pop?|怎么样? 你的答案是什么, 爸爸?
There. Don Corleone|是这样, 柯里昂阁下
I need a man who has powerful friends.|我需要一个有势力的朋友
I need a million dollars in cash.|我需要100万元的现金
I need, Don Corleone, those politicians that you carry in your pocket, like so many nickels and dimes.|柯里昂阁下, 我需要那些你口袋里揣着的政客, 就像有许多硬币一样
-What is the interest for my family? -Thirty percent.|-对我家族有什么利益? -30%回报
In the first year, your end should be 3, 4 million dollars.|第一年, 你就可进帐3、400万元
And then it would go up.|然后还会增加
And what is the interest for the Tattaglia family?|塔塔基利亚家族会得到什么好处?
My compliments.|我的敬意
I'll take care of the Tattaglias outta my share.|我会从我的份额中照顾塔塔基利亚人
So, I receive 30% for finance, political influence and legal protection.|我提供财务、政治和法律的保护, 可以分到30%
That's right.|没错
Why do you come to me?|你为什么来找我?
Why do I deserve this generosity?|为什么我值得你如此慷慨?
If you consider a million dollars in cash just "finance"|若你能考虑投资100万元现金
te salud, Don Corleone.|我会向你敬礼, 柯里昂阁下
I said that I would see you because I heard that you were a serious man|我说我要见你, 是因为我听说你是个正直的人
to be treated with respect.|应该受到尊重
But... I must say no to you.|但是... 我必须拒绝你
And I'll give you my reason.|我会给你我的理由
It's true, I have a lot of friends in politics.|没错, 我是有很多政界的朋友
But they wouldn't be friendly very long|但若他们知道我在搞毒品生意而不再是赌博时
if they knew my business was drugs instead of gambling|他们就不再是我的朋友了
which they regard as a harmless vice.|他们认为赌博是一种无害的恶习
But drugs is a dirty business.|但毒品是一门肮脏的生意
-No, Don Corleone... -It doesn't make any difference to me|-不, 柯里昂阁下... -一个人以什么为生
what a man does for a living, you understand.|对我来说没有什么区别, 你明白的
But your business is...|但你的生意...
a little dangerous.|有一点危险
If you're worried about security for your million|如果你担心你那100万的安全
the Tattaglias will guarantee it.|塔塔基利亚家族可以担保
You're tellin' me the Tattaglias guarantee our investment...|你是说塔塔基利亚家族保证我们的投资...
Wait a minute.|等一下
I have a sentimental weakness for my children... and I spoil them, as you can see.|我对我的孩子有感情上的弱点, 我把他们宠坏了, 你也看到了
They talk when they should listen.|他们在该听的时候却在说
But anyway Signor Sollozzo|不管怎样, 索洛佐先生
my "no" is final.|我的决定还是不行
And I wish to congratulate you on your new business.|我要祝贺你的新生意
I know you'll do very well, and good luck to you|我知道你会做得很好, 祝你好运
especially since your interests don't conflict with mine.|尤其是因为你的利益与我的利益并不冲突
Thank you.|谢谢
Santino|桑蒂诺
Come here!|过来!
What's the matter with you?|你是怎么回事?
I think your brain is going soft from all that comedy you're playing with that young girl.|我看你和女孩子胡搞之后, 脑子退化了
Never tell anybody outside the family what you're thinking again.|别让家里以外的人知道你在想什么
Go on.|走吧
Tom, what... What is this nonsense?|汤姆, 这是什么乱七八糟的?
It's from Johnny. He's starring in that new film.|这是强尼送来的, 他正在主演那部新电影
Well, take it away.|好吧, 把它拿走
Take it over there.|放到那边去
And...|还有...
tell Luca Brasi to come in.|叫卢卡·布拉西到这来
I'm a little worried about this Sollozzo fellow.|我有点担心索洛佐这个家伙
I want you to find out what he's got under his fingernails.|我要你弄清楚他在耍什么把戏
Go to the Tattaglias|到塔塔基利亚那边去
and make them think that you're not too happy with our family|让他们以为你与我们家族不融洽
and find out what you can.|尽你所能去查明真相
I got something for your mother and for Sonny|我给你妈妈和桑尼买了一些东西
and a tie for Freddy, and Tom Hagen got the Reynolds pen.|给弗雷多买了一条领带, 给汤姆·哈根买了雷诺兹笔
-What do you want for Christmas? -Me? Oh, just you.|-圣诞节你想要什么?  -我吗? 哦, 只要你
Andiamo, Fredo.|来吧, 弗雷多
Tell Paulie to get the car. We're going.|叫保利备车, 我们要走了
Okay, Pa.|好的, 爸
I'll have to get it myself. Paulie called in sick this morning. -Huh?|-我来开车, 保利今天早上打电话请了病假  -嗯?
Paulie's a good kid. I don't mind gettin' the car.|保利是个好孩子, 我不介意自己开车
-Buon natale, Caro. -Gràzie.|-圣诞快乐, 卡洛  -谢谢
-Luca, I am Bruno Tattaglia. -I know.|-卢卡, 我是布鲁诺·塔塔基利亚  -我知道
Do you what Scotch?|你喜欢苏格兰威士忌吗?
Prewar.|战前的
I don't drink.|我不喝酒
You know who I am?|你知道我是谁吗?
Tom! Tom Hagen. Merry Christmas.|汤姆! 汤姆·哈根, 圣诞快乐
I'm glad I run into you.|我很高兴遇见你
-I wanna talk to you. -I haven't got time.|-我想跟你聊聊  -我没有时间
Oh, make time, consigliere. Get in the car.|哦, 为我们拨点时间, 军师, 上车吧
What are you worried about?|你担心什么?
If I wanted to kill you, you'd be dead already.|我要杀你的话, 你早就死了
Get in.|上车
Fredo, I'm gonna buy some fruit.|弗雷多, 我买点水果
Okay, Pa.|好的, 爸
Hi. Merry Christmas. I want some fruit over there.|嗨, 圣诞快乐, 我要买些水果
